2025-07-23 18:50:51 | testclient | POST /api/files/upload | 503 | 0.002s | testclient
2025-07-23 18:50:51 | testclient | POST /api/files/upload | 503 | 0.002s | testclient
2025-07-23 18:50:51 | testclient | POST /api/files/upload | 415 | 0.002s | testclient
2025-07-23 18:50:52 | testclient | POST /api/files/upload | 503 | 0.603s | testclient
2025-07-23 18:50:52 | testclient | POST /api/files/upload | 422 | 0.001s | testclient
2025-07-23 18:50:52 | testclient | GET /api/files/QmTestCID123456789 | 404 | 0.003s | testclient
2025-07-23 18:50:52 | testclient | GET /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 18:50:52 | testclient | GET /api/files/QmTestCID123456789 | 404 | 0.002s | testclient
2025-07-23 18:50:52 | testclient | GET /api/files/ | 200 | 0.005s | testclient
2025-07-23 18:50:52 | testclient | GET /api/files/ | 200 | 0.002s | testclient
2025-07-23 18:50:52 | testclient | GET /api/files/ | 200 | 0.002s | testclient
2025-07-23 18:50:52 | testclient | GET /api/files/ | 422 | 0.001s | testclient
2025-07-23 18:50:52 | testclient | POST /api/files/search | 200 | 0.003s | testclient
2025-07-23 18:50:53 | testclient | POST /api/files/search | 200 | 0.002s | testclient
2025-07-23 18:50:53 | testclient | POST /api/files/search | 200 | 0.002s | testclient
2025-07-23 18:50:53 | testclient | POST /api/files/search | 422 | 0.002s | testclient
2025-07-23 18:50:53 | testclient | GET /api/files/QmTestCID123456789/info | 404 | 0.002s | testclient
2025-07-23 18:50:53 | testclient | GET /api/files/QmNonExistentCID123/info | 404 | 0.002s | testclient
2025-07-23 18:50:53 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 18:50:53 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 18:50:53 | testclient | PUT /api/files/QmNonExistentCID123/metadata | 404 | 0.000s | testclient
2025-07-23 18:50:53 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 18:50:53 | testclient | DELETE /api/files/QmTestCID123456789 | 404 | 0.002s | testclient
2025-07-23 18:50:53 | testclient | DELETE /api/files/QmTestCID123456789 | 404 | 0.002s | testclient
2025-07-23 18:50:53 | testclient | DELETE /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 18:50:53 | testclient | GET /api/files/QmTestCID123456789/stats | 404 | 0.001s | testclient
2025-07-23 18:50:54 | testclient | GET /api/files/QmTestCID123456789/stats | 404 | 0.001s | testclient
2025-07-23 18:50:54 | testclient | POST /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 18:50:54 | testclient | POST /api/files/QmTestCID123456789/pin | 500 | 0.002s | testclient
2025-07-23 18:50:54 | testclient | DELETE /api/files/QmTestCID123456789/pin | 500 | 0.005s | testclient
2025-07-23 18:50:54 | testclient | DELETE /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 18:50:54 | testclient | GET /health | 200 | 0.000s | testclient
2025-07-23 18:50:54 | testclient | GET /info | 200 | 0.001s | testclient
2025-07-23 18:50:54 | testclient | GET /info | 200 | 0.001s | testclient
2025-07-23 18:50:54 | testclient | GET /api/files/invalid-cid-format | 404 | 0.002s | testclient
2025-07-23 18:50:54 | testclient | POST /api/files/search | 422 | 0.000s | testclient
2025-07-23 18:50:54 | testclient | POST /api/files/search | 200 | 0.002s | testclient
2025-07-23 18:50:54 | testclient | POST /api/files/upload | 503 | 0.001s | testclient
2025-07-23 19:04:28 | testclient | GET /health | 200 | 0.000s | testclient
2025-07-23 19:04:40 | testclient | POST /api/files/upload | 200 | 0.019s | testclient
2025-07-23 19:04:56 | testclient | POST /api/files/upload | 500 | 0.005s | testclient
2025-07-23 19:05:04 | testclient | POST /api/files/upload | 500 | 0.005s | testclient
2025-07-23 19:05:19 | testclient | POST /api/files/upload | 500 | 0.005s | testclient
2025-07-23 19:06:11 | testclient | POST /api/files/upload | 200 | 0.019s | testclient
2025-07-23 19:06:34 | testclient | POST /api/files/upload | 200 | 0.019s | testclient
2025-07-23 19:06:48 | testclient | POST /api/files/upload | 200 | 0.017s | testclient
2025-07-23 19:06:48 | testclient | POST /api/files/upload | 200 | 0.014s | testclient
2025-07-23 19:06:49 | testclient | POST /api/files/upload | 500 | 0.002s | testclient
2025-07-23 19:06:49 | testclient | POST /api/files/upload | 500 | 0.527s | testclient
2025-07-23 19:06:49 | testclient | POST /api/files/upload | 422 | 0.001s | testclient
2025-07-23 19:06:49 | testclient | GET /api/files/QmTestCID123456789 | 200 | 0.002s | testclient
2025-07-23 19:06:49 | testclient | GET /api/files/QmNonExistentCID123 | 404 | 0.001s | testclient
2025-07-23 19:06:50 | testclient | GET /api/files/QmTestCID123456789 | 500 | 0.002s | testclient
2025-07-23 19:06:50 | testclient | GET /api/files/ | 200 | 0.005s | testclient
2025-07-23 19:06:50 | testclient | GET /api/files/ | 200 | 0.002s | testclient
2025-07-23 19:06:50 | testclient | GET /api/files/ | 200 | 0.016s | testclient
2025-07-23 19:06:50 | testclient | GET /api/files/ | 422 | 0.001s | testclient
2025-07-23 19:06:50 | testclient | POST /api/files/search | 500 | 0.004s | testclient
2025-07-23 19:06:50 | testclient | POST /api/files/search | 500 | 0.002s | testclient
2025-07-23 19:06:50 | testclient | POST /api/files/search | 500 | 0.003s | testclient
2025-07-23 19:06:50 | testclient | POST /api/files/search | 422 | 0.001s | testclient
2025-07-23 19:06:50 | testclient | GET /api/files/QmTestCID123456789/info | 200 | 0.002s | testclient
2025-07-23 19:06:50 | testclient | GET /api/files/QmNonExistentCID123/info | 404 | 0.001s | testclient
2025-07-23 19:06:50 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:06:51 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:06:51 | testclient | PUT /api/files/QmNonExistentCID123/metadata | 404 | 0.000s | testclient
2025-07-23 19:06:51 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:06:51 | testclient | DELETE /api/files/QmTestCID123456789 | 200 | 0.014s | testclient
2025-07-23 19:06:51 | testclient | DELETE /api/files/QmTestCID123456789 | 404 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | DELETE /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:06:51 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | GET /api/files/QmTestCID123456789/stats | 500 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | POST /api/files/QmTestCID123456789/pin | 200 | 0.002s | testclient
2025-07-23 19:06:51 | testclient | POST /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | DELETE /api/files/QmTestCID123456789/pin | 200 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | DELETE /api/files/QmTestCID123456789/pin | 500 | 0.001s | testclient
2025-07-23 19:06:51 | testclient | GET /health | 200 | 0.000s | testclient
2025-07-23 19:06:52 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:06:52 | testclient | GET /info | 200 | 0.000s | testclient
2025-07-23 19:06:52 | testclient | GET /api/files/invalid-cid-format | 404 | 0.002s | testclient
2025-07-23 19:06:52 | testclient | POST /api/files/search | 422 | 0.001s | testclient
2025-07-23 19:06:52 | testclient | POST /api/files/search | 500 | 0.003s | testclient
2025-07-23 19:06:52 | testclient | POST /api/files/upload | 200 | 0.014s | testclient
2025-07-23 19:06:52 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:06:52 | testclient | GET /api/files/QmTestbc837c7cd2fce3f159af/info | 200 | 0.001s | testclient
